dataset,baseline (ms),proposal (ms),speedup (baseline/proposal),natoms,num_edges,avg_neighbors_directed,density_bucket
ani1ccx,31.83 ± 0.44,48.29 ± 0.21,0.659x,55,2042,37.13,small_sparse
ani1x,31.50 ± 0.32,48.59 ± 0.43,0.648x,63,2008,31.87,small_sparse
iso17,29.39 ± 0.18,47.91 ± 0.24,0.613x,19,340,17.89,small_sparse
md22_ac_ala3_nhme,29.29 ± 0.13,48.88 ± 0.37,0.599x,42,1142,27.19,small_sparse
md22_at_at,29.31 ± 0.19,48.27 ± 0.31,0.607x,60,1312,21.87,small_sparse
md22_at_at_cg_cg,55.03 ± 0.35,55.25 ± 0.29,0.996x,118,3740,31.69,large_sparse
md22_buckyball_catcher,104.07 ± 0.13,97.55 ± 0.32,1.067x,148,6872,46.43,large_dense
md22_dha,29.38 ± 0.29,49.15 ± 1.85,0.598x,56,1406,25.11,small_sparse
md22_double_walled_nanotube,367.55 ± 0.11,363.70 ± 0.22,1.011x,370,24024,64.93,large_dense
md22_stachyose,51.80 ± 0.07,53.12 ± 0.39,0.975x,87,3532,40.60,large_dense
mptrj,425.48 ± 0.14,420.71 ± 0.24,1.011x,444,27612,62.19,large_dense
oc20_s2ef_train_20m,125.48 ± 0.12,118.99 ± 0.24,1.055x,225,8260,36.71,large_sparse
oc20_s2ef_train_2m,163.39 ± 0.19,160.53 ± 0.20,1.018x,225,10738,47.72,large_dense
oc20_s2ef_val_id,230.72 ± 0.25,227.49 ± 0.27,1.014x,225,15230,67.69,large_dense
oc20_s2ef_val_ood_ads,102.86 ± 0.18,96.57 ± 1.01,1.065x,225,6686,29.72,large_sparse
oc20_s2ef_val_ood_both,174.44 ± 0.15,171.84 ± 0.19,1.015x,223,11486,51.51,large_dense
oc20_s2ef_val_ood_cat,156.07 ± 0.12,152.64 ± 0.28,1.023x,225,10270,45.64,large_dense
oc22_s2ef_train,216.16 ± 0.11,213.47 ± 0.22,1.013x,228,14238,62.45,large_dense
oc22_s2ef_val_id,179.04 ± 0.16,176.92 ± 0.62,1.012x,200,11704,58.52,large_dense
oc22_s2ef_val_ood,280.30 ± 0.10,277.41 ± 0.24,1.010x,216,18264,84.56,large_dense
omat24_1m_official,232.52 ± 0.26,229.51 ± 0.30,1.013x,160,15224,95.15,large_dense
omol25_train_4m,293.36 ± 0.18,290.32 ± 0.21,1.010x,350,19152,54.72,large_dense
omol25_train_neutral,150.32 ± 0.14,146.15 ± 0.23,1.028x,181,9926,54.84,large_dense
omol25_validation,274.19 ± 0.14,271.65 ± 0.40,1.009x,350,17972,51.35,large_dense
phonondb_pbe,29.37 ± 0.18,47.75 ± 0.29,0.615x,8,208,26.00,small_sparse
qm9_hf,29.41 ± 0.17,48.07 ± 0.21,0.612x,29,570,19.66,small_sparse
rmd17,29.48 ± 0.17,48.05 ± 0.27,0.613x,24,366,15.25,small_sparse
salex_train_official,152.03 ± 0.24,147.98 ± 0.15,1.027x,132,9932,75.24,large_dense
salex_val_official,200.95 ± 0.10,198.32 ± 0.30,1.013x,128,13088,102.25,large_dense
spice_2023,30.62 ± 0.23,49.86 ± 0.34,0.614x,89,728,8.18,small_sparse
wbm_initial,34.78 ± 0.23,48.96 ± 0.25,0.710x,100,2260,22.60,small_sparse
