dataset,case,SH (ms),WeightNN (ms),TP (ms),Force (ms),Model total (ms)
iso17,e3nn_baseline,0.29 ± 0.01,0.44 ± 0.00,61.30 ± 0.25,27.32 ± 0.04,154.77 ± 0.33
iso17,e3nn_pair_full,0.29 ± 0.00,0.46 ± 0.00,8.08 ± 0.06,40.02 ± 0.07,115.52 ± 0.14
mptrj,e3nn_baseline,0.30 ± 0.01,1.51 ± 0.01,102.24 ± 0.10,366.58 ± 0.04,542.70 ± 0.16
mptrj,e3nn_pair_full,0.32 ± 0.03,0.93 ± 0.01,44.30 ± 0.02,359.63 ± 0.21,480.44 ± 0.44
oc20_s2ef_train_20m,e3nn_baseline,0.31 ± 0.02,0.71 ± 0.00,70.56 ± 0.19,107.62 ± 0.06,246.70 ± 0.22
oc20_s2ef_train_20m,e3nn_pair_full,0.32 ± 0.01,0.59 ± 0.00,15.20 ± 0.09,96.81 ± 0.22,184.22 ± 1.72
omat24_1m_official,e3nn_baseline,0.32 ± 0.01,1.00 ± 0.06,81.76 ± 0.42,199.32 ± 0.10,351.65 ± 0.86
omat24_1m_official,e3nn_pair_full,0.32 ± 0.01,0.71 ± 0.01,25.01 ± 0.06,192.81 ± 0.09,290.06 ± 0.12
qm9_hf,e3nn_baseline,0.30 ± 0.01,0.45 ± 0.00,62.17 ± 0.35,27.88 ± 0.26,156.68 ± 0.55
qm9_hf,e3nn_pair_full,0.30 ± 0.01,0.47 ± 0.01,8.25 ± 0.11,40.79 ± 0.10,117.37 ± 0.59
spice_2023,e3nn_baseline,0.32 ± 0.02,0.47 ± 0.01,61.16 ± 0.12,27.28 ± 0.19,154.68 ± 0.21
spice_2023,e3nn_pair_full,0.31 ± 0.01,0.47 ± 0.01,7.99 ± 0.07,40.08 ± 0.04,116.51 ± 0.10
