dataset,baseline_mean_ms,baseline_std_ms,proposal_mean_ms,proposal_std_ms,speedup_baseline_over_proposal,natoms,num_edges,avg_neighbors_directed,density_bucket
ani1ccx,31.470498931594197,0.2506285300470784,47.74793928178648,0.1960961526985776,0.6590964846853331,55,2042,37.127272727272725,small_sparse
ani1x,31.09031190785269,0.2274192043411734,48.29717247436444,0.319842508519112,0.6437294424296797,63,2008,31.873015873015877,small_sparse
iso17,29.439117829315364,0.1851601176837896,48.11779333588978,0.2318863345714152,0.6118135473049117,19,340,17.894736842105264,small_sparse
md22_ac_ala3_nhme,29.39163966414829,0.1719568778177628,48.54725728121897,0.2220734746505502,0.6054232784746578,42,1142,27.19047619047619,small_sparse
md22_at_at,29.43727607683589,0.1673675057077323,48.90356161631644,1.7798099592258887,0.6019454433154063,60,1312,21.866666666666667,small_sparse
md22_at_at_cg_cg,54.894260906924806,0.215055078377803,54.90232432105889,0.2996490610280248,0.9998531316436271,118,3740,31.694915254237287,large_sparse
md22_buckyball_catcher,104.09416458569468,0.1532432545740716,97.17878411368775,0.2277156658471805,1.0711614220642722,148,6872,46.43243243243244,large_dense
md22_dha,29.41552786311756,0.3255169685608561,48.49982971791178,0.5412288253716311,0.6065078585678813,56,1406,25.107142857142858,small_sparse
md22_double_walled_nanotube,367.5731080118567,0.1821069569476674,363.9639908991133,0.4440636057597247,1.0099161378680008,370,24024,64.92972972972973,large_dense
md22_stachyose,51.85402810263137,0.2367347359179791,52.52201345283538,0.3477152109702559,0.9872818023093524,87,3532,40.59770114942529,large_dense
mptrj,425.6646725659569,0.3006223465604986,420.9146104830628,0.2693651100369803,1.0112850967027318,444,27612,62.18918918918919,large_dense
oc20_s2ef_train_20m,125.60166181065142,0.4665462073530978,119.29129118410248,0.3338407629304628,1.0528988374919184,225,8260,36.71111111111111,large_sparse
oc20_s2ef_train_2m,163.5475186010202,0.1890425839660737,160.44360146236917,0.2286108274015484,1.019345845582873,225,10738,47.72444444444445,large_dense
oc20_s2ef_val_id,230.78322334525487,0.1792181838765109,228.03355436772108,1.0648505063164917,1.0120581770746762,225,15230,67.68888888888888,large_dense
oc20_s2ef_val_ood_ads,102.78067192994058,0.0828740311225838,95.75792029500008,0.2173644924895275,1.0733385981369021,225,6686,29.71555555555556,large_sparse
oc20_s2ef_val_ood_both,174.43182157973447,0.1742197448350435,171.7482425738126,0.2567472838543212,1.0156250740368917,223,11486,51.506726457399104,large_dense
oc20_s2ef_val_ood_cat,156.1326912837103,0.1047758954303332,152.62578590773046,0.2787471723345727,1.0229771486850847,225,10270,45.644444444444446,large_dense
oc22_s2ef_train,216.3140079394604,0.2007492716481148,213.48941132891923,0.287759852707572,1.0132306168861431,228,14238,62.44736842105263,large_dense
oc22_s2ef_val_id,179.1929594706744,0.1553258293675647,176.72175705277672,0.2712429303310487,1.0139835776822865,200,11704,58.52,large_dense
oc22_s2ef_val_ood,280.3158024791628,0.1786821834839828,277.5802220605935,0.3493219908201232,1.0098550984586077,216,18264,84.55555555555556,large_dense
omat24_1m_official,232.46689754693455,0.162923726304506,229.5015106520926,0.3666821990368363,1.012920990743879,160,15224,95.15,large_dense
omol25_train_4m,293.72996881914634,0.6724393492758822,290.5675082700327,0.3064104272474373,1.01088373771707,350,19152,54.72,large_dense
omol25_train_neutral,150.3228490551313,0.2627154630985818,146.38800490647554,0.4508493812555202,1.0268795530833938,181,9926,54.83977900552486,large_dense
omol25_validation,274.25824001741904,0.2611684473010076,271.5910599023725,0.319772928487671,1.009820574049843,350,17972,51.34857142857143,large_dense
phonondb_pbe,29.51529951921354,0.0965330168898827,47.97755368830016,0.2104415678934663,0.615189755421214,8,208,26.0,small_sparse
qm9_hf,29.592795150044065,0.1647820731516897,48.49988922166328,0.2880551562893234,0.6101621184080138,29,570,19.655172413793103,small_sparse
rmd17,29.547738175218303,0.1225462771093211,48.16700757946819,0.2162758159134427,0.6134435095738313,24,366,15.25,small_sparse
salex_train_official,151.936005637981,0.2042750180537176,147.88064831712595,0.2752868483850765,1.0274231778600162,132,9932,75.24242424242425,large_dense
salex_val_official,201.41295697540045,0.3750605560257957,198.5570884309709,0.7348547320825936,1.0143831105048782,128,13088,102.25,large_dense
spice_2023,30.956597439944744,0.1816644775444809,49.48672789614648,0.4459217833893117,0.6255535323513545,89,728,8.179775280898877,small_sparse
wbm_initial,34.579251745405294,0.2737155634078916,48.97170717207094,0.2799835290854953,0.7061067245196261,100,2260,22.6,small_sparse
